Cohort,Join Year,Y 1,Y 2,Y 3,Y 4,Y 5,Y 6,Y 7,Y 8,Y 9,Y 10,Y 11
1996,100.0,4.8,0.0,,,,,,,,,
1997,100.0,4.0,1.6,1.5,1.0,0.7,1.2,0.9,0.6,0.4,0.2,0.4
1998,100.0,5.2,4.5,3.6,2.0,3.1,3.2,1.5,1.3,0.6,0.4,
1999,100.0,16.4,6.3,4.8,5.4,4.8,2.7,1.4,1.5,0.9,,
2000,100.0,8.0,4.3,4.6,3.8,2.3,1.4,1.1,1.0,,,
2001,100.0,8.2,6.6,5.2,2.9,1.8,1.2,1.0,,,,
2002,100.0,11.9,8.2,4.1,2.3,1.9,1.5,,,,,
2003,100.0,16.2,6.3,4.3,2.5,2.1,,,,,,
2004,100.0,9.9,4.8,3.0,2.1,,,,,,,
2005,100.0,7.0,3.5,2.4,,,,,,,,
2006,100.0,9.4,4.6,,,,,,,,,
2007,100.0,10.3,,,,,,,,,,
2008,100.0,,,,,,,,,,,
